"Name","mean_iou","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","ce_weight","dice_weight","ignore_index","lr","max_epochs","min_delta","n_splits","num_classes","num_workers","patience","early_stop/epoch","epoch","fold/best_epoch","fold/best_iou","fold_1/best_epoch","fold_1/best_iou","fold_1/train_loss","fold_1/val_iou","fold_1/val_loss","fold_2/best_epoch","fold_2/best_iou","fold_2/train_loss","fold_2/val_iou","fold_2/val_loss","fold_3/train_loss","fold_3/val_iou","fold_3/val_loss","train/loss","val/iou","val/loss","fold_3/best_epoch","fold_3/best_iou","fold_4/best_epoch","fold_4/best_iou","fold_4/train_loss","fold_4/val_iou","fold_4/val_loss","fold_5/best_epoch","fold_5/best_iou","fold_5/train_loss","fold_5/val_iou","fold_5/val_loss","median_epoch","std_iou","fold"
"DinoV3_LR1e-05_CE0_Dice1","0.836727249622345","finished","-",,,"2025-12-28T08:18:14.000Z","1618",,"8","0","1","255","0.00001","30","0.002","5","2","4","7","26","26",,,"26","0.8415142297744751","0.1445869808847254","0.8425567150115967","0.1291669969047819","30","0.8337533473968506","0.1430091787468303","0.8337533473968506","0.1324864285332816","0.1581864134831862","0.8399789929389954","0.15684176129954203",,,,"26","0.8391895294189453","29","0.8454704880714417","0.15285492160103537","0.8371144533157349","0.15798786921160562","19","0.8237086534500122","0.15628214478492736","0.8236684799194336","0.15079182386398315","26","0.007533261711854623","5"
"DinoV3_LR1e-05_CE1_Dice0","0.8405134439468384","finished","-",,,"2025-12-28T07:49:18.000Z","1735",,"8","1","0","255","0.00001","30","0.002","5","2","4","7",,"30",,,"26","0.8452813625335693","0.21654854281382127","0.8468451499938965","0.2055185980030469","28","0.8349523544311523","0.2150781970132481","0.8357311487197876","0.22264336475304192","0.2034505619244142","0.842474102973938","0.19219195736306055",,,,"26","0.8420931696891785","27","0.8426284790039062","0.23712608380751177","0.8406193256378174","0.2256205497043473","29","0.8376118540763855","0.19422351907600055","0.8345056772232056","0.20157634041139055","27","0.0037160972737838942",
"DinoV3_LR1e-05_CE0.3_Dice0.7","0.8396499395370484","finished","-",,,"2025-12-28T02:21:58.000Z","1679",,"8","0.3","0.7","255","0.00001","30","0.002","5","2","4","7",,"30",,,"30","0.8466014266014099","0.20684466605836696","0.8466014266014099","0.18908406581197465","27","0.8343502879142761","0.15909620794382962","0.8341348171234131","0.16234436205455235","0.208497060158036","0.8422656059265137","0.2102284665618624",,,,"30","0.8422656059265137","25","0.8444027900695801","0.16018895371393724","0.8458628058433533","0.15567708707281522","24","0.8306295871734619","0.17761193893172525","0.8293048143386841","0.19056490915162225","27","0.00611894656517874",
"DinoV3_LR1e-05_CE0.7_Dice0.3","0.8407418608665467","finished","-",,,"2025-12-28T01:53:59.000Z","1678",,"8","0.7","0.3","255","0.00001","30","0.002","5","2","4","7",,"30",,,"26","0.8438452482223511","0.1868741046298634","0.8431347608566284","0.1807693892291614","27","0.8324007987976074","0.2038402665745128","0.8336959481239319","0.2043556815811566","0.1855047450824217","0.8456235527992249","0.17671166679688863",,,,"27","0.8444416522979736","26","0.8487603068351746","0.18552673648704185","0.8487616777420044","0.1703788670045989","28","0.8342612981796265","0.19052224511449983","0.8304174542427063","0.1924250934805189","27","0.006311671009249949",
"DinoV3_LR1e-05_CE0.5_Dice0.5","0.8422007203102112","finished","-",,,"2025-12-28T01:25:47.000Z","1691",,"8","0.5","0.5","255","0.00001","30","0.002","5","2","4","7",,"30",,,"28","0.8484415411949158","0.17251559170809658","0.8476216197013855","0.1596785278192588","30","0.8378339409828186","0.17118574624711816","0.8378339409828186","0.17509561032056808","0.18609612706032663","0.8305855393409729","0.19950320039476668",,,,"27","0.8415878415107727","27","0.8469514846801758","0.178219457377087","0.846768856048584","0.16364121437072754","30","0.836188793182373","0.1951277705756101","0.836188793182373","0.1856478335601943","28","0.004839530087131819",
"DinoV3_LR0.0001_CE0_Dice1","0.8556616306304932","finished","-",,,"2025-12-28T00:58:51.000Z","1615",,"8","0","1","255","0.0001","30","0.002","5","2","4","7","27","30",,,"30","0.8631646633148193","0.07774747014045716","0.8631646633148193","0.07910823183400291","27","0.8490356206893921","0.07601353471929377","0.844922661781311","0.08808677962848119","0.07568177743391558","0.8586504459381104","0.08430956942694527",,,,"28","0.8587239384651184","20","0.8585959672927856","0.08395234779878095","0.8583464622497559","0.08922795738492693","28","0.8487879633903503","0.08053945844823664","0.8471969366073608","0.09003532997199468","28","0.005752127770686785","4"
"DinoV3_LR0.0001_CE1_Dice0","0.862930977344513","finished","-",,,"2025-12-28T00:30:49.000Z","1681",,"8","1","0","255","0.0001","30","0.002","5","2","4","7",,"30",,,"27","0.8658857941627502","0.13522496602751993","0.8614659309387207","0.15888591696109092","27","0.854540228843689","0.1276141951029951","0.8557698130607605","0.17017828779561178","0.13153909228064797","0.8662707805633545","0.14506385368960245",,,,"26","0.8662490844726562","26","0.8683691024780273","0.1346185634082014","0.8396415710449219","0.18341126612254552","28","0.8596106767654419","0.12922653501684014","0.8597301244735718","0.1574216080563409","27","0.0051135709372295566",
"DinoV3_LR0.0001_CE0.3_Dice0.7","0.861404538154602","finished","-",,,"2025-12-28T00:04:25.000Z","1583",,"8","0.3","0.7","255","0.0001","30","0.002","5","2","4","7","22","30",,,"26","0.8662669658660889","0.1001650723544034","0.8654134273529053","0.11525518340723856","15","0.8442971706390381","0.11114134016362104","0.8419390916824341","0.13837763454232896","0.1012297429821708","0.8680055141448975","0.1116838375372546",,,,"30","0.8680055141448975","25","0.8694849014282227","0.10483705821362407","0.8686481714248657","0.11527033043759208","29","0.8589681386947632","0.09990451085296544","0.8574207425117493","0.12120043486356737","26","0.00928554170253997","2"
"DinoV3_LR0.0001_CE0.7_Dice0.3","0.8610527873039245","finished","-",,,"2025-12-27T23:37:28.000Z","1616",,"8","0.7","0.3","255","0.0001","30","0.002","5","2","4","7","29","30",,,"19","0.8615751266479492","0.12493281906301323","0.8514618277549744","0.15242325620991842","22","0.8504799604415894","0.12461670962246982","0.851600170135498","0.15819563024810382","0.11842286600307984","0.8669705390930176","0.1334787452859538",,,,"29","0.8655798435211182","29","0.8718439936637878","0.11730936630205677","0.8681681156158447","0.13696652970143727","29","0.8557850122451782","0.122663290663199","0.8544521927833557","0.15007814605321204","29","0.007439775978019337","2"
"DinoV3_LR0.0001_CE0.5_Dice0.5","0.8637818694114685","finished","-",,,"2025-12-27T23:09:29.000Z","1678",,"8","0.5","0.5","255","0.0001","30","0.002","5","2","4","7",,"30",,,"25","0.8673413991928101","0.11118375929919155","0.8643441200256348","0.13577408183898246","30","0.8538102507591248","0.10970200984315438","0.8538102507591248","0.13940382642405377","0.11307872100309892","0.8646985292434692","0.1330380498298577",,,,"26","0.86513352394104","25","0.8692200183868408","0.11056202121756294","0.8560802936553955","0.13724071798580034","30","0.8634041547775269","0.1099612800235098","0.8634041547775269","0.13050514991794313","26","0.005359972638034173",
"DinoV3_LR0.001_CE0_Dice1","0.8395452260971069","finished","-",,,"2025-12-27T22:42:29.000Z","1618",,"8","0","1","255","0.001","30","0.002","5","2","4","7","27","30",,,"22","0.8451039791107178","0.08671030077067289","0.8463001251220703","0.08801176292555672","24","0.8330405950546265","0.09053734649311412","0.833777904510498","0.09340348626886096","0.10326004407622598","0.8358414173126221","0.09587276833398002",,,,"20","0.8373287320137024","26","0.8483183979988098","0.08657005808570169","0.8450427055358887","0.09403531679085322","26","0.8339344263076782","0.0992560240355405","0.8337944746017456","0.0959643040384565","24","0.006108558350065549","3"
"DinoV3_LR0.001_CE1_Dice0","0.846898365020752","finished","-",,,"2025-12-27T21:00:11.000Z","1551",,"8","1","0","255","0.001","30","0.002","5","2","4","7","20","30",,,"13","0.8367780447006226","0.18462477231567556","0.8382562398910522","0.18352902042014255","30","0.845829963684082","0.15355270234021273","0.845829963684082","0.17678574366228922","0.16345796557989986","0.8462570905685425","0.16549320412533625",,,,"24","0.8477013111114502","29","0.8547684550285339","0.1628722208467397","0.8524414896965027","0.16555343834417208","30","0.849414050579071","0.1532333556901325","0.849414050579071","0.1694058467234884","29","0.005873228716501931","1"
"DinoV3_LR0.001_CE0.3_Dice0.7","0.8514536857604981","finished","-",,,"2025-12-27T20:32:20.000Z","1670",,"8","0.3","0.7","255","0.001","30","0.002","5","2","4","7",,"30",,,"28","0.8566877841949463","0.12153016044334931","0.851914644241333","0.12570310863001005","25","0.8417749404907227","0.12800821499391035","0.8356362581253052","0.14857147953339986","0.1235048617828976","0.8551110625267029","0.12230473224605833",,,,"28","0.8572237491607666","26","0.8567228317260742","0.11868840103799648","0.8457332253456116","0.1317854475762163","25","0.8448591232299805","0.11710842752998524","0.8447376489639282","0.1333798100905759","26","0.006717435258151222",
"DinoV3_LR0.001_CE0.7_Dice0.3","0.8486715912818908","finished","-",,,"2025-12-27T20:06:32.000Z","1548",,"8","0.7","0.3","255","0.001","30","0.002","5","2","4","7","20","30",,,"22","0.8569202423095703","0.14074177471074192","0.8559731245040894","0.14944599675280706","25","0.8410361409187317","0.1394544027068398","0.8407343029975891","0.167850384754794","0.14773776029998606","0.8556119203567505","0.1490411407181195",,,,"30","0.8556119203567505","13","0.8426917791366577","0.16521592180837286","0.8384740352630615","0.1771377825311252","26","0.8470978736877441","0.15433668331666425","0.8359954357147217","0.16494391858577728","25","0.006522932684773797","4"
"DinoV3_LR0.001_CE0.5_Dice0.5","0.8520603060722352","finished","-",,,"2025-12-27T19:38:54.000Z","1657",,"8","0.5","0.5","255","0.001","30","0.002","5","2","4","7",,"30",,,"28","0.8560633063316345","0.13346326852386647","0.8540146350860596","0.13813580306512968","28","0.843998908996582","0.12919882888143713","0.8391314744949341","0.15690165971006667","0.13210328140042044","0.848778247833252","0.14094986287610872",,,,"27","0.8558937311172485","28","0.8574771881103516","0.14007023694840345","0.8576473593711853","0.14011706092527934","28","0.8468683958053589","0.13693866675550287","0.8371609449386597","0.15598762088588303","28","0.005513688868588784",